"","Broad grouping","Scientific_Name","Common_Name","CalCOFI sampled species","Federal Fished Species","Federal Marine Mammal Species","Threatened & Endangered Species","State Commercial Species","State Rec Species"
"279","Fish",NA,"Fantail Sole",NA,NA,NA,NA,"State","State"
"280",NA,"Eutaeniophorus festivus","Festive ribbontail",NA,NA,NA,NA,NA,NA
"281","Marine mammals/Seabirds/Turtles","Balaenoptera physalus","Fin Whale","Species sampled by CalCOFI",NA,"Federal (ESA & CITES & MMPA)","Federal",NA,NA
"282","Fish","Antimora microlepis","Finescale Codling",NA,"Federal",NA,NA,NA,NA
"283","Fish",NA,"Finescale Triggerfish",NA,NA,NA,NA,NA,"State"
"284","Fish","Sebastes rubrivinctus","Flag Rockfish",NA,"Federal",NA,NA,"State","State"
"285","Inverts/Zooplankton",NA,"Flat Abalone",NA,NA,NA,NA,"State",NA
"286","Fish","Citharichthys","Flatfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"287","Fish",NA,"Flatfish Order",NA,NA,NA,NA,NA,"State"
"288","Fish","Hippoglossoides elassodon","Flathead Sole",NA,"Federal",NA,NA,NA,NA
"289","Marine mammals/Seabirds/Turtles","Puffinus carneipes","Flesh-Footed Shearwater","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"290",NA,NA,"Flyingfish",NA,NA,NA,NA,"State",NA
"291",NA,"Exocoetidae","Flyingfishes",NA,NA,NA,NA,NA,NA
"292","Marine mammals/Seabirds/Turtles","Oceanodroma furcata","Fork-Tailed Storm Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"293","Marine mammals/Seabirds/Turtles","Sterna forsteri","Forster'S Tern","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"294","Marine mammals/Seabirds/Turtles","Leucophaeus pipixcan","Franklin's Gull","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"295","Fish",NA,"Freckled Rockfish",NA,NA,NA,NA,NA,"State"
"296","Inverts/Zooplankton",NA,"Freshwater Clam",NA,NA,NA,NA,"State",NA
"297",NA,NA,"Freshwater Snail",NA,NA,NA,NA,"State",NA
"298",NA,"Neoclinus spp.","Fringeheads",NA,NA,NA,NA,NA,NA
"299",NA,NA,"Frog",NA,NA,NA,NA,"State",NA
"300","Marine mammals/Seabirds/Turtles","Procellariidae","Fulmars","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"301","Inverts/Zooplankton",NA,"Gaper clam",NA,NA,NA,NA,NA,"State"
"302","Inverts/Zooplankton",NA,"Gaper Clam",NA,NA,NA,NA,"State",NA
"303","Fish","Hypsypops rubicundus","Garibaldi","Species sampled by CalCOFI",NA,NA,NA,"State","State"
"304","Inverts/Zooplankton","Panopea generosa","Geoduck",NA,"Federal",NA,NA,NA,NA
"305","Inverts/Zooplankton",NA,"Geoduck clam",NA,NA,NA,NA,NA,"State"
"306",NA,NA,"Ghost Shrimp",NA,NA,NA,NA,"State",NA
"307",NA,"Coryphaenoides leptolepis","Ghostly grenadier",NA,NA,NA,NA,NA,NA
"308",NA,"Albatrossia pectoralis","Giant grenadier",NA,NA,NA,NA,NA,NA
"309",NA,NA,"Giant Kelp",NA,NA,NA,NA,"State",NA
"310","Fish",NA,"Giant Kelpfish",NA,NA,NA,NA,"State","State"
"311",NA,"Parvilux ingens","Giant lampfish",NA,NA,NA,NA,NA,NA
"312",NA,NA,"Giant Pacific Oyster",NA,NA,NA,NA,"State",NA
"313",NA,NA,"Giant Red Sea Cucumber",NA,NA,NA,NA,"State",NA
"314","Fish",NA,"Giant Sea Bass",NA,NA,NA,NA,"State",NA
"315","Fish",NA,"Giant Seabass",NA,NA,NA,NA,NA,"State"
"316","Marine mammals/Seabirds/Turtles","Larus hyperboreus","Glaucous Gull","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"317","Marine mammals/Seabirds/Turtles","Larus glaucescens","Glaucous-Winged Gull","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"318","Fish","Gobiidae","Gobies","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"319","Fish",NA,"Goby Family",NA,NA,NA,NA,NA,"State"
"320",NA,NA,"Golden Prawn",NA,NA,NA,NA,"State",NA
"321","Fish","Sebastes carnatus","Gopher Rockfish",NA,"Federal",NA,NA,"State","State"
"322","Marine mammals/Seabirds/Turtles","Pterodroma leucoptera","Gould's Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"323","Fish","Sebastes rastrelliger","Grass Rockfish",NA,"Federal",NA,NA,"State","State"
"324","Fish",NA,"Gray Smoothhound",NA,NA,NA,NA,NA,"State"
"325",NA,NA,"Gray Smoothhound Shark",NA,NA,NA,NA,"State",NA
"326","Marine mammals/Seabirds/Turtles","Eschrichtius robustus","Gray Whale","Species sampled by CalCOFI",NA,"Federal (ESA & CITES & MMPA)","Federal",NA,NA
"327","Marine mammals/Seabirds/Turtles","Ardea herodias","Great Blue Heron","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"328","Marine mammals/Seabirds/Turtles","Ardea alba","Great Egret","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"329","Inverts/Zooplankton",NA,"Green Abalone",NA,NA,NA,NA,"State",NA
"330","Marine mammals/Seabirds/Turtles","Butorides virescens","Green Heron","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"331","Marine mammals/Seabirds/Turtles","Chelonia mydas","Green Sea Turtle","Species sampled by CalCOFI",NA,NA,"Federal",NA,NA
"332","Fish","Acipenser medirostris","Green Sturgeon",NA,NA,NA,"Federal",NA,"State"
"333","Fish","Sebastes rosenblatti","Greenblotched Rockfish",NA,"Federal",NA,NA,"State","State"
"334","Fish",NA,"Greenling Genus",NA,NA,NA,NA,NA,"State"
"335",NA,"Hexagrammidae","Greenlings",NA,NA,NA,NA,NA,NA
"336","Fish","Sebastes chlorostictus","Greenspotted Rockfish",NA,"Federal",NA,NA,"State","State"
"337","Fish","Sebastes elongatus","Greenstriped Rockfish",NA,"Federal",NA,NA,"State","State"
"338",NA,NA,"Grenadier",NA,NA,NA,NA,"State",NA
"339",NA,"Coryphaenoides spp.","Grenadiers",NA,NA,NA,NA,NA,NA
"340","Fish","Macrouridae","Grenadiers","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"341",NA,NA,"Group Black/Blue Rockfish",NA,NA,NA,NA,"State",NA
"342",NA,NA,"Group Bocaccio/Chili Rockfish",NA,NA,NA,NA,"State",NA
"343",NA,NA,"Group Bolina Rockfish",NA,NA,NA,NA,"State",NA
"344",NA,NA,"Group Canary/Vermili Rockfish",NA,NA,NA,NA,"State",NA
"345",NA,NA,"Group Deep Nearshore Rockfish",NA,NA,NA,NA,"State",NA
"346",NA,NA,"Group Deepwater Reds Rockfish",NA,NA,NA,NA,"State",NA
"347",NA,NA,"Group Gopher Rockfish",NA,NA,NA,NA,"State",NA
"348",NA,NA,"Group Nearshore Rockfish",NA,NA,NA,NA,"State",NA
"349",NA,NA,"Group Red Rockfish",NA,NA,NA,NA,"State",NA
"350",NA,NA,"Group Rosefish Rockfish",NA,NA,NA,NA,"State",NA
"351",NA,NA,"Group Shelf Rockfish",NA,NA,NA,NA,"State",NA
"352",NA,NA,"Group Slope Rockfish",NA,NA,NA,NA,"State",NA
"353",NA,NA,"Group Small Rockfish",NA,NA,NA,NA,"State",NA
"354",NA,NA,"Grouper",NA,NA,NA,NA,"State",NA
"355",NA,"Haemulidae","Grunts",NA,NA,NA,NA,NA,NA
"356","Marine mammals/Seabirds/Turtles","Arctocephalus townsendi","Guadalupe Fur Seal","Species sampled by CalCOFI",NA,"Federal (ESA & CITES & MMPA)","State & Federal",NA,NA
"357","Fish","Mycteroperca jordani","Gulf Grouper",NA,NA,NA,"Federal",NA,NA
"358",NA,"Citharichthys fragilis","Gulf sanddab",NA,NA,NA,NA,NA,NA
"359","Marine mammals/Seabirds/Turtles","Laridae","Gulls","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"360",NA,"Pholidae","Gunnels",NA,NA,NA,NA,NA,NA
"361",NA,NA,"Hagfishes",NA,NA,NA,NA,"State",NA
"362","Fish",NA,"Halfbanded Rockfish",NA,NA,NA,NA,NA,"State"
"363","Fish","Medialuna californiensis","Halfmoon","Species sampled by CalCOFI",NA,NA,NA,"State","State"
"364","Marine mammals/Seabirds/Turtles","Phocoena phocoena","Harbor Porpoise","Species sampled by CalCOFI",NA,"Federal (CITES & MMPA)",NA,NA,NA
"365","Marine mammals/Seabirds/Turtles","Phoca vitulina","Harbor Seal","Species sampled by CalCOFI",NA,"Federal (MMPA)",NA,NA,NA
"366",NA,NA,"Hardhead (Freshwater)",NA,NA,NA,NA,"State",NA
"367","Fish","Sebastes variegatus","Harlequin Rockfish",NA,"Federal",NA,NA,NA,NA
"368","Fish","Sternoptychidae","Hatchetfishes","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"369","Marine mammals/Seabirds/Turtles","Pterodroma sandwichensis","Hawaiian Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"370","Marine mammals/Seabirds/Turtles","Eretmochelys imbricata","Hawksbill Sea Turtle","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"371",NA,"Diaphus spp.","Headlightfishes",NA,NA,NA,NA,NA,NA
"372","Marine mammals/Seabirds/Turtles","Larus heermanni","Heermann'S Gull","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"373",NA,NA,"Hermit Crab",NA,NA,NA,NA,"State",NA
"374","Marine mammals/Seabirds/Turtles","Setophaga occidentalis","Hermit Warbler","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"375","Marine mammals/Seabirds/Turtles","Larus argentatus","Herring Gull","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"376","Bacterioplankton","Prokaryota","Heterotrophic Bacteria/Prokaryotes","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"377",NA,"Anoplarchus purpurescens","High cockscomb",NA,NA,NA,NA,NA,NA
"378","Fish","Bathophilus flemingi","Highfin Dragonfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"379",NA,"Triphoturus nigrescens","Highseas lampfish",NA,NA,NA,NA,NA,NA
"380",NA,"Vinciguerria poweriae","Highseas lightfish",NA,NA,NA,NA,NA,NA
"381",NA,"Melamphaes lugubris","Highsnout bigscale",NA,NA,NA,NA,NA,NA
"382",NA,NA,"Hitch",NA,NA,NA,NA,"State",NA
"383","Fish","Sebastes umbrosus","Honeycomb Rockfish",NA,"Federal",NA,NA,"State","State"
"384","Fish",NA,"Horn Shark",NA,NA,NA,NA,"State","State"
"385","Marine mammals/Seabirds/Turtles","Fratercula corniculata","Horned Puffin","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"386",NA,NA,"Hornsnail",NA,NA,NA,NA,"State",NA
"387","Fish","Pleuronichthys verticalis","Hornyhead turbot","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"388",NA,NA,"Hornyhead Turbot",NA,NA,NA,NA,"State",NA
"389","Inverts/Zooplankton",NA,"Humboldt squid",NA,NA,NA,NA,NA,"State"
"390","Marine mammals/Seabirds/Turtles","Trochilidae","Hummingbirds","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"391","Marine mammals/Seabirds/Turtles","Megaptera novaeangliae","Humpback Whale","Species sampled by CalCOFI",NA,"Federal (ESA & CITES & MMPA)","Federal",NA,NA
"392","Marine mammals/Seabirds/Turtles","Threskiornithidae","Ibises","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"393",NA,NA,"Invalid",NA,NA,NA,NA,"State",NA
"394",NA,NA,"Invertebrate Unspecified",NA,NA,NA,NA,"State",NA
"395","Fish","Trachurus symmetricus","Jack mackerel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"396","Fish",NA,"Jack Mackerel",NA,NA,NA,NA,"State","State"
"397",NA,"Carangidae","Jacks",NA,NA,NA,NA,NA,NA
"398","Fish","Atherinopsis californiensis","Jacksmelt",NA,NA,NA,NA,"State","State"
"399","Marine mammals/Seabirds/Turtles","Stercorarius","Jaegers","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"400",NA,NA,"Jellyfish",NA,NA,NA,NA,"State",NA
"401","Marine mammals/Seabirds/Turtles","Pterodroma externa","Juan Fernandez Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"402",NA,NA,"Jumbo Squid",NA,NA,NA,NA,"State",NA
"403",NA,NA,"Kahawai",NA,NA,NA,NA,"State",NA
"404",NA,NA,"Kellet'S Whelk",NA,NA,NA,NA,"State",NA
"405","Inverts/Zooplankton",NA,"Kellets Whelk",NA,NA,NA,NA,NA,"State"
"406",NA,"Paralabrax spp.","Kelp and sand basses",NA,NA,NA,NA,NA,NA
"407","Fish",NA,"Kelp Bass",NA,NA,NA,NA,"State","State"
"408","Fish","Hexagrammos decagrammus","Kelp greenling",NA,"Federal",NA,NA,NA,NA
"409","Fish",NA,"Kelp Greenling",NA,NA,NA,NA,"State","State"
"410","Marine mammals/Seabirds/Turtles","Larus dominicanus","Kelp Gull","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"411","Fish",NA,"Kelp Perch",NA,NA,NA,NA,NA,"State"
"412","Fish","Sebastes atrovirens","Kelp Rockfish",NA,"Federal",NA,NA,"State","State"
"413",NA,NA,"Kelpfishes",NA,NA,NA,NA,"State",NA
"414","Marine mammals/Seabirds/Turtles","Pterodroma neglecta","Kermadec Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"415",NA,NA,"Keyhole Limpet",NA,NA,NA,NA,"State",NA
"416","Marine mammals/Seabirds/Turtles","Orcinus orca","Killer Whale","Species sampled by CalCOFI",NA,"Federal (ESA & CITES & MMPA)","Federal",NA,NA
"417",NA,NA,"King Crab",NA,NA,NA,NA,"State",NA
"418",NA,"Trachipterus altivelis","King-of-the-salmon",NA,NA,NA,NA,NA,NA
"419",NA,"Myctophidae","Lanternfishes",NA,NA,NA,NA,NA,NA
"420","Fish","Diaphus","Laternfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"421","Marine mammals/Seabirds/Turtles","Leucophaeus atricilla","Laughing Gull","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"422","Marine mammals/Seabirds/Turtles","Phoebastria immutabilis","Laysan Albatross","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"423","Marine mammals/Seabirds/Turtles","Oceanodroma leucorhoa","Leach's Storm Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"424","Marine mammals/Seabirds/Turtles","Oceanodroma microsoma","Least Storm Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"425","Marine mammals/Seabirds/Turtles","Sternula antillarum","Least Tern","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"426","Marine mammals/Seabirds/Turtles","Dermochelys coriacea","Leatherback Sea Turtle","Species sampled by CalCOFI",NA,NA,"State & Federal",NA,NA
"427","Fish",NA,"Lefteye Flounder Family",NA,NA,NA,NA,NA,"State"
"428","Fish","Triakis semifasciata","Leopard Shark",NA,"Federal",NA,NA,"State","State"
"429",NA,"Vinciguerria spp.","Lightfish",NA,NA,NA,NA,NA,NA
"430","Fish","Ophiodon elongatus","Lingcod","Species sampled by CalCOFI","Federal",NA,NA,"State","State"
"431","Fish","Ophiodon elongatus","Lingcod","Species sampled by CalCOFI","Federal",NA,NA,"State","State"
"432",NA,"Melamphaes parvus","Little bigscale",NA,NA,NA,NA,NA,NA
"433","Inverts/Zooplankton",NA,"Littleneck clam",NA,NA,NA,NA,NA,"State"
"434","Marine mammals/Seabirds/Turtles","Caretta caretta","Loggerhead Sea",NA,NA,NA,"Federal",NA,NA
"435","Marine mammals/Seabirds/Turtles","Delphinus capensis","Long-Beaked Common Dolphin","Species sampled by CalCOFI",NA,"Federal (CITES & MMPA)",NA,NA,NA
"436","Marine mammals/Seabirds/Turtles","Numenius americanus","Long-Billed Curlew","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"437","Marine mammals/Seabirds/Turtles","Limnodromus scolopaceus","Long-Billed Dowitcher","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"438","Marine mammals/Seabirds/Turtles","Stercorarius longicaudus","Long-Tailed Jaeger","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"439","Fish","Tactostoma macropus","Longfin dragonfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"440",NA,"Lampanyctus steinbecki","Longfin lampfish",NA,NA,NA,NA,NA,NA
"441","Fish","Diogenichthys atlanticus","Longfin Lanternfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"442",NA,"Citharichthys xanthostigma","Longfin sanddab",NA,NA,NA,NA,NA,NA
"443","Fish",NA,"Longfin Sanddab",NA,NA,NA,NA,"State","State"
"444",NA,"Scopeloberyx robustus","Longjaw bigscale",NA,NA,NA,NA,NA,NA
"445","Fish",NA,"Longjaw Mudsucker",NA,NA,NA,NA,"State","State"
"446","Fish","Raja rhina","Longnose Skate",NA,"Federal",NA,NA,"State","State"
"447",NA,"Zaniolepis latipinnis","Longspine combfish",NA,NA,NA,NA,NA,NA
"448","Fish","Sebastolobus altivelis","Longspine thornyhead",NA,"Federal",NA,NA,NA,NA
"449",NA,NA,"Longspine Thornyhead",NA,NA,NA,NA,"State",NA
"450","Marine mammals/Seabirds/Turtles","Gavia","Loons","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"451",NA,NA,"Louvar",NA,NA,NA,NA,"State",NA
"452",NA,"Argyropelecus sladeni","Lowcrest hatchetfish",NA,NA,NA,NA,NA,NA
"453","Fish","Cyclopteridae","Lumpsucker","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"454","Marine mammals/Seabirds/Turtles","Anas platyrhynchos","Mallard","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"455","Marine mammals/Seabirds/Turtles","Mammalia","Mammals","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"456",NA,"Caristius maderensis","Manefin",NA,NA,NA,NA,NA,NA
"457","Marine mammals/Seabirds/Turtles","Setophaga petechia","Mangrove Warbler","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"458",NA,NA,"Mantis Shrimp",NA,NA,NA,NA,"State",NA
"459","Marine mammals/Seabirds/Turtles","Limosa fedoa","Marbled Godwit","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"460","Marine mammals/Seabirds/Turtles","Brachyramphus marmoratus","Marbled Murrelet","Species sampled by CalCOFI",NA,NA,"State & Federal",NA,NA
"461","Algae/Phytoplankton",NA,"Marine Algae",NA,NA,NA,NA,"State",NA
"462",NA,NA,"Marine Flatworm",NA,NA,NA,NA,"State",NA
"463",NA,NA,"Marine Worms",NA,NA,NA,NA,"State",NA
"464","Inverts/Zooplankton",NA,"Market squid",NA,NA,NA,NA,NA,"State"
"465",NA,NA,"Market Squid",NA,NA,NA,NA,"State",NA
"466","Fish","Icichthys lockingtoni","Medusafish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"467","Marine mammals/Seabirds/Turtles","Peponocephala electra","Melon-Headed Whale",NA,NA,"Federal (CITES & SPAW & MMPA)",NA,NA,NA
"468","Marine mammals/Seabirds/Turtles","Larus canus","Mew Gull","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"469","Fish","Triphoturus mexicanus","Mexican lampfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"470","Fish","Sebastes macdonaldi","Mexican Rockfish",NA,"Federal",NA,NA,"State","State"
"471","Fish",NA,"Mexican Scad",NA,NA,NA,NA,NA,"State"
"472","Fish",NA,"Midshipman Genus",NA,NA,NA,NA,NA,"State"
"473","Marine mammals/Seabirds/Turtles","Balaenoptera acutorostrata","Minke Whale","Species sampled by CalCOFI",NA,"Federal (CITES & MMPA)",NA,NA,NA
"474",NA,NA,"Monkeyface (Eel) Prickleback",NA,NA,NA,NA,"State",NA
"475","Fish",NA,"Monkeyface Prickleback",NA,NA,NA,NA,NA,"State"
"476",NA,NA,"Moon Snails",NA,NA,NA,NA,"State",NA
"477","Marine mammals/Seabirds/Turtles","Pterodroma inexpectata","Mottled Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"478","Marine mammals/Seabirds/Turtles","Zenaida macroura","Mourning Dove","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"479","Marine mammals/Seabirds/Turtles","Pterodroma ultima","Murphy's Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"480","Marine mammals/Seabirds/Turtles","Alcidae","Murres","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"481",NA,NA,"Mussel",NA,NA,NA,NA,"State",NA
"482",NA,"Hypsoblennius jenkinsi","Mussel blenny",NA,NA,NA,NA,NA,NA
"483","Inverts/Zooplankton",NA,"Mussels",NA,NA,NA,NA,NA,"State"
"484",NA,"Atherinopsidae","New world silversides",NA,NA,NA,NA,NA,NA
"485","Fish",NA,"Night Smelt",NA,NA,NA,NA,"State","State"
"486","Marine mammals/Seabirds/Turtles","Eubalaena japonica","North Pacific Right Whale",NA,NA,"Federal (ESA & CITES & MMPA)","Federal",NA,NA
"487","Fish","Xiphias gladius","North Pacific Swordfish",NA,"Federal",NA,NA,NA,NA
"488","Fish","Argentina sialis","North-Pacific Argentine","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"489","Fish","Engraulis mordax","Northern Anchovy","Species sampled by CalCOFI","Federal",NA,NA,"State","State"
"490",NA,"Gobiesox maeandricus","Northern clingfish",NA,NA,NA,NA,NA,NA
"491","Marine mammals/Seabirds/Turtles","Mirounga angustirostris","Northern Elephant Seal","Species sampled by CalCOFI",NA,"Federal (MMPA)",NA,NA,NA
"492","Marine mammals/Seabirds/Turtles","Fulmarus glacialis","Northern Fulmar","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"493","Marine mammals/Seabirds/Turtles","Callorhinus ursinus","Northern Fur Seal","Species sampled by CalCOFI",NA,"Federal (MMPA)",NA,NA,NA
"494","Fish","Stenobrachius leucopsarus","Northern lampfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"495","Marine mammals/Seabirds/Turtles","Setophaga americana","Northern Parula","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"496",NA,"Benthalbella dentata","Northern pearleye",NA,NA,NA,NA,NA,NA
"497","Inverts/Zooplankton",NA,"Northern Quahog Clam",NA,NA,NA,NA,"State",NA
"498","Inverts/Zooplankton",NA,"Northern Razor Clam",NA,NA,NA,NA,"State",NA
"499","Marine mammals/Seabirds/Turtles","Lissodelphis borealis","Northern Right Whale Dolphin","Species sampled by CalCOFI",NA,"Federal (CITES & MMPA)",NA,NA,NA
"500",NA,"Ronquilus jordani","Northern ronquil",NA,NA,NA,NA,NA,NA
"501",NA,NA,"Ocean (Pink) Shrimp",NA,NA,NA,NA,"State",NA
"502","Marine mammals/Seabirds/Turtles","Mola mola","Ocean Sunfish","Species sampled by CalCOFI",NA,NA,NA,"State",NA
"503",NA,"Caulolatilus princeps","Ocean whitefish",NA,NA,NA,NA,NA,NA
"504","Fish",NA,"Ocean Whitefish",NA,NA,NA,NA,"State","State"
"505","Fish","Carcharhinus longimanus","Oceanic Whitetip Shark",NA,NA,NA,"Federal",NA,NA
"506",NA,NA,"Oilfish",NA,NA,NA,NA,"State",NA
"507","Marine mammals/Seabirds/Turtles","Lepidochelys olivacea","Olive Ridley","Species sampled by CalCOFI",NA,NA,"Federal",NA,NA
"508","Fish","Sebastes serranoides","Olive Rockfish",NA,"Federal",NA,NA,"State","State"
"509","Fish",NA,"Onespot Fringehead",NA,NA,NA,NA,NA,"State"
"510","Fish","Lampris guttatus/ Lampris spp.","Opah",NA,"Federal",NA,NA,"State",NA
"511","Fish","Girella nigricans","Opaleye","Species sampled by CalCOFI",NA,NA,NA,"State","State"
"512",NA,"Chaenopsis alepidota","Orangethroat pikeblenny",NA,NA,NA,NA,NA,NA
"513","Marine mammals/Seabirds/Turtles","Pandion haliaetus","Osprey","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"514","Inverts/Zooplankton",NA,"Oysters",NA,NA,NA,NA,NA,"State"
"515",NA,NA,"Pacific - Roe Herring",NA,NA,NA,NA,"State",NA
"516",NA,NA,"Pacific - Roe On Kelp Herring",NA,NA,NA,NA,"State",NA
"517","Fish",NA,"Pacific (Chub) Mackerel",NA,NA,NA,NA,NA,"State"
"518","Fish","Thunnus alalunga","Pacific Albacore Tuna",NA,"Federal",NA,NA,NA,NA
"519","Fish",NA,"Pacific Angel Shark",NA,NA,NA,NA,"State","State"
"520","Fish",NA,"Pacific Barracuda",NA,NA,NA,NA,NA,"State"
"521","Fish","Sphyraena argentea","Pacific barracuda (California barracuda)","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"522","Fish","Idiacanthus antrostomus","Pacific Blackdragon","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"523","Fish","Thunnus orientalis","Pacific Bluefin Tuna",NA,"Federal",NA,NA,NA,NA
"524",NA,"Sarda chiliensis","Pacific bonito",NA,NA,NA,NA,NA,NA
"525","Fish",NA,"Pacific Bonito",NA,NA,NA,NA,"State","State"
"526","Fish","Scomber japonicus","Pacific chub mackerel (Pacific mackerel)","Species sampled by CalCOFI","Federal",NA,NA,NA,NA
"527","Fish","Gadus macrocephalus","Pacific Cod",NA,"Federal",NA,NA,"State",NA
"528","Fish","Gadus macrocephalus","Pacific Cod",NA,"Federal",NA,NA,"State",NA
"529","Fish","Alopias vulpinus","Pacific Common Thresher Shark",NA,"Federal",NA,NA,NA,NA
"530",NA,NA,"Pacific Crevalle Jack",NA,NA,NA,NA,"State",NA
"531",NA,NA,"Pacific Electric Ray",NA,NA,NA,NA,"State",NA
"532","Fish","Thaleichthys pacificus","Pacific Eulachon",NA,NA,NA,"Federal",NA,NA
"533","Fish","Coryphaenoides acrolepis","Pacific grenadier",NA,"Federal",NA,NA,NA,NA
"534","Fish",NA,"Pacific Hagfish",NA,NA,NA,NA,"State","State"
"535","Fish",NA,"Pacific Hake",NA,NA,NA,NA,NA,"State"
"536","Fish","Merluccius productus","Pacific hake or whiting","Species sampled by CalCOFI","Federal",NA,NA,NA,NA
"537","Fish","Hippoglossus stenolepis","Pacific Halibut",NA,"Federal",NA,NA,"State",NA
"538","Fish","Clupea pallasii","Pacific Herring",NA,"Federal",NA,NA,"State","State"
"539","Fish",NA,"Pacific Lamprey",NA,NA,NA,NA,"State","State"
"540","Marine mammals/Seabirds/Turtles","Gavia pacifica","Pacific Loon","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"541",NA,NA,"Pacific Mackerel",NA,NA,NA,NA,"State",NA
"542","Fish","Sebastes alutus","Pacific Ocean Perch",NA,"Federal",NA,NA,NA,NA
"543",NA,NA,"Pacific Ocean Perch Rockfish",NA,NA,NA,NA,"State",NA
"544","Inverts/Zooplankton","Crassostrea gigas","Pacific Oyster",NA,"Federal",NA,NA,NA,NA
"545",NA,"Brama japonica","Pacific pomfret",NA,NA,NA,NA,NA,NA
"546","Fish","Peprilus simillimus","Pacific pompano","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"547","Fish",NA,"Pacific Pompano (Butterfish)",NA,NA,NA,NA,NA,"State"
"548","Inverts/Zooplankton",NA,"Pacific Razor clam",NA,NA,NA,NA,NA,"State"
"549","Fish","Citharichthys sordidus","Pacific sanddab",NA,"Federal",NA,NA,NA,NA
"550","Fish",NA,"Pacific Sanddab",NA,NA,NA,NA,"State","State"
"551","Fish","Sardinops sagax caerulea","Pacific Sardine",NA,"Federal",NA,NA,"State","State"
"552","Fish","Sardinops sagax","Pacific sardine (pilchard)","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"553","Fish","Cololabis saira","Pacific Saury","Species sampled by CalCOFI",NA,NA,NA,"State",NA
"554",NA,"Lepidopus fitchi","Pacific scabbardfish",NA,NA,NA,NA,NA,NA
